Kanton;Jahr;CVP;SP;SVP
Glarus;1990;18.2;16.1;26.6
Zug;1990;39.7;15.8;0.0
Freiburg;1990;39.4;23.3;7.8
Solothurn;1990;27.6;22.2;0.0
Basel-Stadt;1990;10.6;18.3;0.0
Basel-Landschaft;1990;13.5;24.1;10.4
Schaffhausen;1990;7.7;29.5;20.5
Appenzell A. Rh. ;1990;;;
Appenzell I. Rh.;1990;;;
St. Gallen;1990;42.7;14.2;0.4
Graubünden;1990;;;
Aargau;1990;20.7;17.7;15.6
Thurgau ;1990;20.3;13.9;22.9
Tessin;1990;31.1;12.1;2.1
Waadt;1990;2.5;26.2;8.4
Wallis;1990;58.3;12.8;0.0
Neuenburg;1990;0.0;37.0;0.0
Genf;1990;12.7;19.0;1.6
Jura;1990;34.1;19.4;1.9
Zürich;1991;7.7;19.3;19.4
Bern;1991;1.6;24.7;32.3
Luzern;1991;48.6;9.5;0.0
Uri;1991;;;
Schwyz ;1991;44.2;13.0;5.7
Obwalden;1991;63.1;0.0;0.0
Nidwalden;1991;44.8;0.0;0.0
Glarus;1991;18.2;16.1;26.6
Zug;1991;39.7;15.8;0.0
Freiburg;1991;35.4;20.2;8.9
Solothurn;1991;27.6;22.2;0.0
Basel-Stadt;1991;10.6;18.3;0.0
Basel-Landschaft;1991;14.0;22.6;11.7
Schaffhausen;1991;7.7;29.5;20.5
Appenzell A. Rh. ;1991;;;
Appenzell I. Rh.;1991;;;
St. Gallen;1991;42.7;14.2;0.4
Graubünden;1991;;;
Aargau;1991;20.7;17.7;15.6
Thurgau ;1991;20.3;13.9;22.9
Tessin;1991;29.5;9.5;1.6
Waadt;1991;2.5;26.2;8.4
Wallis;1991;58.3;12.8;0.0
Neuenburg;1991;0.0;37.0;0.0
Genf;1991;12.7;19.0;1.6
Jura;1991;34.1;19.4;1.9
Zürich;1992;7.7;19.3;19.4
Bern;1992;1.6;24.7;32.3
Luzern;1992;48.6;9.5;0.0
Uri;1992;;;
Schwyz ;1992;42.3;12.1;7.6
Obwalden;1992;63.1;0.0;0.0
Nidwalden;1992;44.8;0.0;0.0
Glarus;1992;18.2;16.1;26.6
Zug;1992;39.7;15.8;0.0
Freiburg;1992;35.4;20.2;8.9
Solothurn;1992;27.6;22.2;0.0
Basel-Stadt;1992;10.4;21.1;1.1
Basel-Landschaft;1992;14.0;22.6;11.7
Schaffhausen;1992;5.6;25.2;22.2
Appenzell A. Rh. ;1992;;;
Appenzell I. Rh.;1992;;;
St. Gallen;1992;37.7;14.5;0.0
Graubünden;1992;;;
Aargau;1992;20.7;17.7;15.6
Thurgau ;1992;19.4;15.3;21.7
Tessin;1992;29.5;9.5;1.6
Waadt;1992;2.5;26.2;8.4
Wallis;1992;58.3;12.8;0.0
Neuenburg;1992;0.0;37.0;0.0
Genf;1992;12.7;19.0;1.6
Jura;1992;34.1;19.4;1.9
Zürich;1993;7.7;19.3;19.4
Bern;1993;1.6;24.7;32.3
Luzern;1993;48.6;9.5;0.0
Uri;1993;;;
Schwyz ;1993;42.3;12.1;7.6
Obwalden;1993;63.1;0.0;0.0
Nidwalden;1993;44.8;0.0;0.0
Glarus;1993;18.2;16.1;26.6
Zug;1993;39.7;15.8;0.0
Freiburg;1993;35.4;20.2;8.9
Solothurn;1993;25.8;23.6;1.7
Basel-Stadt;1993;10.4;21.1;1.1
Basel-Landschaft;1993;14.0;22.6;11.7
Schaffhausen;1993;5.6;25.2;22.2
Appenzell A. Rh. ;1993;;;
Appenzell I. Rh.;1993;;;
St. Gallen;1993;37.7;14.5;0.0
Graubünden;1993;;;
Aargau;1993;17.8;19.9;17.1
Thurgau ;1993;19.4;15.3;21.7
Tessin;1993;29.5;9.5;1.6
Waadt;1993;2.5;26.2;8.4
Wallis;1993;55.8;14.2;0.0
Neuenburg;1993;0.0;31.2;0.0
Genf;1993;12.5;13.8;2.3
Jura;1993;34.1;19.4;1.9
Zürich;1994;7.7;19.3;19.4
Bern;1994;1.2;24.1;32.5
Luzern;1994;48.6;9.5;0.0
Uri;1994;;;
Schwyz ;1994;42.3;12.1;7.6
Obwalden;1994;65.4;0.0;0.0
Nidwalden;1994;47.9;0.0;0.0
Glarus;1994;16.6;16.9;26.6
Zug;1994;34.9;12.4;8.6
Freiburg;1994;35.4;20.2;8.9
Solothurn;1994;25.8;23.6;1.7
Basel-Stadt;1994;10.4;21.1;1.1
Basel-Landschaft;1994;14.0;22.6;11.7
Schaffhausen;1994;5.6;25.2;22.2
Appenzell A. Rh. ;1994;;;
Appenzell I. Rh.;1994;;;
St. Gallen;1994;37.7;14.5;0.0
Graubünden;1994;;;
Aargau;1994;17.8;19.9;17.1
Thurgau ;1994;19.4;15.3;21.7
Tessin;1994;29.5;9.5;1.6
Waadt;1994;2.2;28.3;7.8
Wallis;1994;55.8;14.2;0.0
Neuenburg;1994;0.0;31.2;0.0
Genf;1994;12.5;13.8;2.3
Jura;1994;33.8;19.9;2.0
Zürich;1995;6.4;21.5;21.1
Bern;1995;1.2;24.1;32.5
Luzern;1995;48.6;9.5;0.0
Uri;1995;;;
Schwyz ;1995;42.3;12.1;7.6
Obwalden;1995;65.4;0.0;0.0
Nidwalden;1995;47.9;0.0;0.0
Glarus;1995;16.6;16.9;26.6
Zug;1995;34.9;12.4;8.6
Freiburg;1995;35.4;20.2;8.9
Solothurn;1995;25.8;23.6;1.7
Basel-Stadt;1995;10.4;21.1;1.1
Basel-Landschaft;1995;14.0;23.6;11.7
Schaffhausen;1995;5.6;25.2;22.2
Appenzell A. Rh. ;1995;;;
Appenzell I. Rh.;1995;;;
St. Gallen;1995;37.7;14.5;0.0
Graubünden;1995;;;
Aargau;1995;17.8;19.9;17.1
Thurgau ;1995;19.4;15.3;21.7
Tessin;1995;27.7;16.0;1.2
Waadt;1995;2.2;28.3;7.8
Wallis;1995;55.8;14.2;0.0
Neuenburg;1995;0.0;31.2;0.0
Genf;1995;12.5;13.8;2.3
Jura;1995;33.8;19.9;2.0
Zürich;1996;6.4;21.5;21.1
Bern;1996;1.2;24.1;32.5
Luzern;1996;48.6;9.5;0.0
Uri;1996;;;
Schwyz ;1996;37.9;14.0;15.2
Obwalden;1996;65.4;0.0;0.0
Nidwalden;1996;47.9;0.0;0.0
Glarus;1996;16.6;16.9;26.6
Zug;1996;34.9;12.4;8.6
Freiburg;1996;33.6;23.2;8.4
Solothurn;1996;25.8;23.6;1.7
Basel-Stadt;1996;9.5;27.0;0.0
Basel-Landschaft;1996;14.0;23.6;11.7
Schaffhausen;1996;5.5;27.7;27.2
Appenzell A. Rh. ;1996;;;
Appenzell I. Rh.;1996;;;
St. Gallen;1996;33.8;15.2;9.8
Graubünden;1996;;;
Aargau;1996;17.8;19.9;17.1
Thurgau ;1996;18.4;14.9;26.1
Tessin;1996;27.7;16.0;1.2
Waadt;1996;2.2;28.3;7.8
Wallis;1996;55.8;14.2;0.0
Neuenburg;1996;0.0;31.2;0.0
Genf;1996;12.5;13.8;2.3
Jura;1996;33.8;19.9;2.0
Zürich;1997;6.4;21.5;21.1
Bern;1997;1.2;24.1;32.5
Luzern;1997;48.6;9.5;0.0
Uri;1997;;;
Schwyz ;1997;37.9;14.0;15.2
Obwalden;1997;65.4;0.0;0.0
Nidwalden;1997;47.9;0.0;0.0
Glarus;1997;16.6;16.9;26.6
Zug;1997;34.9;12.4;8.6
Freiburg;1997;33.6;23.2;8.4
Solothurn;1997;24.4;25.1;6.4
Basel-Stadt;1997;9.5;27.0;0.0
Basel-Landschaft;1997;14.0;23.6;11.7
Schaffhausen;1997;5.5;27.7;27.2
Appenzell A. Rh. ;1997;;;
Appenzell I. Rh.;1997;;;
St. Gallen;1997;33.8;15.2;9.8
Graubünden;1997;;;
Aargau;1997;17.3;21.7;21.9
Thurgau ;1997;18.4;14.9;26.1
Tessin;1997;27.7;16.0;1.2
Waadt;1997;2.2;28.3;7.8
Wallis;1997;53.6;17.0;0.0
Neuenburg;1997;0.6;33.0;0.0
Genf;1997;11.2;20.6;0.0
Jura;1997;33.8;19.9;2.0
Zürich;1998;6.4;21.5;21.1
