,Kanton,Year,Population,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP
637,Schaffhausen,2003,73968.0,2.2306943543153794,20.31959766385464,65.16331386545534,38.42202033311702,26.6,5.4,33.6
638,Schaffhausen,2003,73968.0,2.2306943543153794,19.359723123512868,63.67618429591175,37.80012978585334,26.6,5.4,33.6
640,Schaffhausen,2005,73764.0,2.3046472534027442,19.386150425681905,62.75418903530178,36.91502630009219,27.2,4.6,35.6
641,Schaffhausen,2006,73866.0,2.233774673056616,18.357566404028915,61.76048520293505,35.808084910513635,27.2,4.6,35.6
642,Schaffhausen,2007,74527.0,2.764098917170958,18.100822520697196,59.562306278261566,35.289224039609806,27.2,4.6,35.6
643,Schaffhausen,2008,75303.0,3.0543271848399134,18.511878676812344,57.75334316029906,33.87647238489835,23.0,5.1,32.6
644,Schaffhausen,2009,75657.0,2.696379713707919,17.02420132968529,56.30675284507712,33.242132254781446,23.0,5.1,32.6
645,Schaffhausen,2010,76356.0,2.2918958562522915,17.064801718267066,54.38996280580439,32.8985279480329,23.0,5.1,32.6
646,Schaffhausen,2011,77139.0,2.242704727828984,17.215675598594743,52.943387910136245,31.7349200793373,23.0,5.1,32.6
647,Schaffhausen,2012,77955.0,2.0652940799179014,17.81797190686935,51.491244949009044,30.004489769738953,22.6,4.9,33.6
648,Schaffhausen,2013,78783.0,2.0055088026604726,18.290748004011018,51.597425840600124,28.254826548874757,22.6,4.9,33.6
649,Schaffhausen,2014,79417.0,2.1280078572597807,18.58544140423335,51.70177669768437,27.210798695493406,22.6,4.9,33.6
650,Schaffhausen,2014,79417.0,2.1280078572597807,18.58544140423335,51.70177669768437,27.210798695493406,22.6,4.9,33.6
651,Schaffhausen,2015,79836.0,1.8538002905957212,19.489954406533393,51.71852297209279,27.03041234530788,22.6,4.9,33.6
652,Schaffhausen,2016,80769.0,1.9561960653220913,19.128626081788806,52.965865616758904,26.804838490014735,22.8,3.7,35.1
653,Schaffhausen,2017,81351.0,1.770107312755836,19.12699290727834,59.10191638701429,27.52271023097442,22.8,3.7,35.1
654,Schaffhausen,2018,81991.0,1.609932797502165,19.67289092705297,59.05526216292032,27.344464636362527,22.8,3.7,35.1
655,Schaffhausen,2019,82348.0,1.9794044785544276,19.30830135522417,59.85573420119493,28.18526254432409,22.8,3.7,35.1
656,Schaffhausen,2020,83107.0,1.8169347949029564,18.28967475663903,60.28373061234312,28.613714849531327,19.7,3.2,33.4
735,Solothurn,1999,243908.0,3.5915181133870147,21.0530199911442,69.56311396100169,35.64458730340948,25.1,24.4,6.4
736,Solothurn,2000,244015.0,1.1925496383419052,21.04378829170338,69.53261070016188,35.62895723623548,25.1,24.4,6.4
737,Solothurn,2001,245264.0,2.238404331658947,20.39435057733707,66.80556461608715,35.89601409093875,25.2,22.0,15.5
738,Solothurn,2002,246280.0,2.1032970602566183,20.2208867955173,65.28341724866006,36.27172324183856,25.2,22.0,15.5
739,Solothurn,2003,246807.0,2.3459626347712987,20.181761457333057,63.507112845259655,36.696690126293014,25.2,22.0,15.5
740,Solothurn,2003,246807.0,2.3459626347712987,20.28710692970621,63.049265215330195,36.70074187523045,25.2,22.0,15.5
742,Solothurn,2005,247937.0,3.0007622904205506,19.83165078225517,61.57209291069909,36.4205423151849,24.9,21.5,17.6
743,Solothurn,2006,248613.0,2.7874648550156267,18.61929987571044,60.374960279631395,35.4567138484311,24.9,21.5,17.6
744,Solothurn,2007,250240.0,2.7653452685421995,18.346387468030688,59.43893861892583,34.53484654731458,24.9,21.5,17.6
745,Solothurn,2008,251830.0,2.68832148671723,18.051860382003735,57.19334471667395,33.47496326887186,24.9,21.5,17.6
746,Solothurn,2009,252748.0,2.623166157595708,17.891338408216882,56.12705145045658,33.464161932042984,20.7,20.8,19.4
