"Jahr","Kanton","Ehedauer",Scheidungen
"1984","Neuchâtel","Ehedauer - Total",343
"1984","Genève","Ehedauer - Total",952
"1984","Jura","Ehedauer - Total",79
"1985","Schweiz","Ehedauer - Total",11416
"1985","Zürich","Ehedauer - Total",2528
"1985","Bern / Berne","Ehedauer - Total",1478
"1985","Luzern","Ehedauer - Total",341
"1985","Uri","Ehedauer - Total",24
"1985","Schwyz","Ehedauer - Total",130
"1985","Obwalden","Ehedauer - Total",28
"1985","Nidwalden","Ehedauer - Total",36
"1985","Glarus","Ehedauer - Total",45
"1985","Zug","Ehedauer - Total",111
"1985","Fribourg / Freiburg","Ehedauer - Total",243
"1985","Solothurn","Ehedauer - Total",386
"1985","Basel-Stadt","Ehedauer - Total",438
"1985","Basel-Landschaft","Ehedauer - Total",482
"1985","Schaffhausen","Ehedauer - Total",117
"1985","Appenzell Ausserrhoden","Ehedauer - Total",67
"1985","Appenzell Innerrhoden","Ehedauer - Total",7
"1985","St. Gallen","Ehedauer - Total",629
"1985","Graubünden / Grigioni / Grischun","Ehedauer - Total",201
"1985","Aargau","Ehedauer - Total",764
"1985","Thurgau","Ehedauer - Total",287
"1985","Ticino","Ehedauer - Total",412
"1985","Vaud","Ehedauer - Total",1095
"1985","Valais / Wallis","Ehedauer - Total",228
"1985","Neuchâtel","Ehedauer - Total",329
"1985","Genève","Ehedauer - Total",934
"1985","Jura","Ehedauer - Total",76
"1986","Schweiz","Ehedauer - Total",11395
"1986","Zürich","Ehedauer - Total",2527
"1986","Bern / Berne","Ehedauer - Total",1438
"1986","Luzern","Ehedauer - Total",352
"1986","Uri","Ehedauer - Total",21
"1986","Schwyz","Ehedauer - Total",128
"1986","Obwalden","Ehedauer - Total",29
"1986","Nidwalden","Ehedauer - Total",40
"1986","Glarus","Ehedauer - Total",44
"1986","Zug","Ehedauer - Total",117
"1986","Fribourg / Freiburg","Ehedauer - Total",228
"1986","Solothurn","Ehedauer - Total",406
"1986","Basel-Stadt","Ehedauer - Total",436
"1986","Basel-Landschaft","Ehedauer - Total",486
"1986","Schaffhausen","Ehedauer - Total",150
"1986","Appenzell Ausserrhoden","Ehedauer - Total",71
"1986","Appenzell Innerrhoden","Ehedauer - Total",8
"1986","St. Gallen","Ehedauer - Total",650
"1986","Graubünden / Grigioni / Grischun","Ehedauer - Total",189
"1986","Aargau","Ehedauer - Total",708
"1986","Thurgau","Ehedauer - Total",284
"1986","Ticino","Ehedauer - Total",403
"1986","Vaud","Ehedauer - Total",1133
"1986","Valais / Wallis","Ehedauer - Total",220
"1986","Neuchâtel","Ehedauer - Total",340
"1986","Genève","Ehedauer - Total",892
"1986","Jura","Ehedauer - Total",95
"1987","Schweiz","Ehedauer - Total",11553
"1987","Zürich","Ehedauer - Total",2535
"1987","Bern / Berne","Ehedauer - Total",1516
"1987","Luzern","Ehedauer - Total",407
"1987","Uri","Ehedauer - Total",29
"1987","Schwyz","Ehedauer - Total",145
"1987","Obwalden","Ehedauer - Total",28
"1987","Nidwalden","Ehedauer - Total",35
"1987","Glarus","Ehedauer - Total",52
"1987","Zug","Ehedauer - Total",115
"1987","Fribourg / Freiburg","Ehedauer - Total",269
"1987","Solothurn","Ehedauer - Total",427
"1987","Basel-Stadt","Ehedauer - Total",434
"1987","Basel-Landschaft","Ehedauer - Total",415
"1987","Schaffhausen","Ehedauer - Total",140
"1987","Appenzell Ausserrhoden","Ehedauer - Total",57
"1987","Appenzell Innerrhoden","Ehedauer - Total",6
"1987","St. Gallen","Ehedauer - Total",635
"1987","Graubünden / Grigioni / Grischun","Ehedauer - Total",218
"1987","Aargau","Ehedauer - Total",739
"1987","Thurgau","Ehedauer - Total",267
"1987","Ticino","Ehedauer - Total",298
"1987","Vaud","Ehedauer - Total",1108
"1987","Valais / Wallis","Ehedauer - Total",262
"1987","Neuchâtel","Ehedauer - Total",322
"1987","Genève","Ehedauer - Total",999
"1987","Jura","Ehedauer - Total",95
"1988","Schweiz","Ehedauer - Total",12731
"1988","Zürich","Ehedauer - Total",2739
"1988","Bern / Berne","Ehedauer - Total",1568
"1988","Luzern","Ehedauer - Total",398
"1988","Uri","Ehedauer - Total",17
"1988","Schwyz","Ehedauer - Total",136
"1988","Obwalden","Ehedauer - Total",23
"1988","Nidwalden","Ehedauer - Total",40
"1988","Glarus","Ehedauer - Total",61
"1988","Zug","Ehedauer - Total",113
"1988","Fribourg / Freiburg","Ehedauer - Total",301
"1988","Solothurn","Ehedauer - Total",376
"1988","Basel-Stadt","Ehedauer - Total",421
"1988","Basel-Landschaft","Ehedauer - Total",414
"1988","Schaffhausen","Ehedauer - Total",131
"1988","Appenzell Ausserrhoden","Ehedauer - Total",73
"1988","Appenzell Innerrhoden","Ehedauer - Total",11
"1988","St. Gallen","Ehedauer - Total",757
"1988","Graubünden / Grigioni / Grischun","Ehedauer - Total",213
"1988","Aargau","Ehedauer - Total",834
"1988","Thurgau","Ehedauer - Total",346
"1988","Ticino","Ehedauer - Total",448
"1988","Vaud","Ehedauer - Total",1528
"1988","Valais / Wallis","Ehedauer - Total",247
"1988","Neuchâtel","Ehedauer - Total",362
"1988","Genève","Ehedauer - Total",1073
"1988","Jura","Ehedauer - Total",101
"1989","Schweiz","Ehedauer - Total",12721
"1989","Zürich","Ehedauer - Total",2650
"1989","Bern / Berne","Ehedauer - Total",1515
"1989","Luzern","Ehedauer - Total",429
"1989","Uri","Ehedauer - Total",25
"1989","Schwyz","Ehedauer - Total",182
"1989","Obwalden","Ehedauer - Total",21
"1989","Nidwalden","Ehedauer - Total",45
"1989","Glarus","Ehedauer - Total",45
"1989","Zug","Ehedauer - Total",124
"1989","Fribourg / Freiburg","Ehedauer - Total",307
"1989","Solothurn","Ehedauer - Total",434
"1989","Basel-Stadt","Ehedauer - Total",401
"1989","Basel-Landschaft","Ehedauer - Total",468
"1989","Schaffhausen","Ehedauer - Total",158
